Index, RawAltitude, KalmanAltitude, ax, ay, az, Acceleration, isApogee1, isApogee2, isApogee3
71 , 1568.50, 1566.33, -3.56, -8.33, -6.20, 0.46, 0, 0, 0
72 , 1568.12, 1566.27, -3.52, -7.28, -7.16, -0.01, 0, 0, 0
73 , 1568.12, 1566.20, -3.50, -5.30, -5.86, -0.70, 0, 0, 0
74 , 1568.02, 1566.14, -3.49, 0.03, -9.71, -0.82, 0, 0, 0
75 , 1568.70, 1566.11, -3.44, -3.93, -7.02, -0.23, 0, 0, 0
76 , 1568.89, 1566.10, -3.38, 0.45, -8.53, -0.22, 0, 0, 0
77 , 1567.83, 1566.04, -3.32, 3.45, -13.26, 0.56, 0, 0, 0
78 , 1568.22, 1566.00, -3.29, 4.30, -12.91, -0.46, 0, 0, 0
79 , 1568.60, 1565.99, -3.15, 0.11, -6.25, 2.23, 0, 0, 0
80 , 1568.22, 1565.97, -2.96, -0.23, -9.52, 3.56, 0, 0, 0
81 , 1568.50, 1565.98, -2.79, 0.50, -12.50, 2.85, 0, 0, 0
82 , 1568.02, 1565.96, -2.60, -0.28, -11.99, 3.15, 0, 0, 0
83 , 1568.41, 1565.97, -2.39, -1.49, -9.19, 3.65, 0, 0, 0
84 , 1568.31, 1565.98, -2.22, -0.24, -9.79, 2.32, 0, 0, 0
85 , 1568.02, 1565.97, -2.11, 0.32, -7.85, 1.15, 0, 0, 0
86 , 1567.54, 1565.96, -1.96, -1.92, -5.83, 2.44, 0, 0, 0
87 , 1567.26, 1565.94, -1.76, -2.64, -6.83, 3.71, 0, 0, 0
88 , 1567.54, 1565.94, -1.57, -4.48, -7.87, 3.44, 0, 0, 0
89 , 1566.87, 1565.93, -1.30, -6.07, -14.42, 5.81, 0, 0, 0
90 , 1567.26, 1565.95, -1.03, -3.87, -19.35, 5.32, 0, 0, 0
91 , 1565.72, 1565.87, -0.98, -0.43, -51.04, 0.13, 0, 0, 0
92 , 1564.47, 1565.73, -1.07, -5.85, -38.97, -2.86, 0, 0, 0
93 , 1570.04, 1565.87, -0.98, -2.13, -0.09, -0.20, 0, 0, 0
94 , 1571.10, 1566.07, -0.90, -1.26, -2.01, -0.62, 0, 0, 0
95 , 1571.58, 1566.27, -0.83, -1.47, -1.49, -1.07, 0, 0, 0
96 , 1570.23, 1566.41, -0.77, -0.53, 0.45, -0.47, 0, 0, 0
97 , 1570.71, 1566.57, -0.73, -0.18, 1.82, -0.86, 0, 0, 0
98 , 1571.00, 1566.74, -0.66, 0.54, 2.43, -0.15, 0, 0, 0
99 , 1571.96, 1566.95, -0.55, -0.09, 2.07, 0.61, 0, 0, 0
100 , 1571.39, 1567.13, -0.47, -0.98, 1.17, 0.34, 0, 0, 0
101 , 1571.77, 1567.31, -0.41, -1.04, 0.25, -0.62, 0, 0, 0
102 , 1571.77, 1567.48, -0.39, -0.28, -0.45, -1.58, 0, 0, 0
103 , 1570.33, 1567.59, -0.39, 0.44, -0.91, -0.99, 0, 0, 0
104 , 1567.74, 1567.58, -0.39, 0.11, -0.70, 0.11, 0, 0, 0
105 , 1567.16, 1567.55, -0.39, -1.05, -0.10, 0.24, 0, 0, 0
106 , 1569.95, 1567.54, -1.01, -42.37, 16.35, -17.59, 0, 0, 0
107 , 1567.35, 1567.48, -1.23, -34.14, -4.43, -4.13, 0, 0, 0
108 , 1568.50, 1567.41, -1.79, -22.82, -0.97, -14.00, 0, 0, 0
109 , 1567.74, 1567.31, -2.25, -17.73, 2.85, -10.30, 0, 0, 0
