56, 1469.37, 1478.05, 1483.52, 1498.73, 1389.53, 1468.69, 1468.27, 1468.00
57, 1469.56, 1478.54, 1484.06, 1498.90, 1393.53, 1468.79, 1468.27, 1468.02
58, 1469.46, 1478.80, 1484.15, 1499.08, 1397.33, 1468.79, 1468.27, 1468.04
59, 1468.89, 1479.06, 1484.09, 1498.96, 1400.93, 1468.69, 1468.27, 1468.07
60, 1468.98, 1479.09, 1484.08, 1500.14, 1404.35, 1468.79, 1468.27, 1468.10
61, 1468.98, 1479.39, 1484.67, 1500.21, 1407.58, 1468.89, 1468.36, 1468.12
62, 1468.98, 1479.74, 1485.01, 1499.81, 1410.64, 1468.79, 1468.36, 1468.14
63, 1468.50, 1479.64, 1484.91, 1499.93, 1413.55, 1468.79, 1468.36, 1468.15
64, 1468.98, 1479.97, 1485.45, 1500.62, 1416.31, 1468.89, 1468.36, 1468.16
65, 1468.89, 1479.87, 1485.84, 1501.12, 1418.94, 1468.89, 1468.36, 1468.17
66, 1469.17, 1480.16, 1485.83, 1502.11, 1421.44, 1468.89, 1468.36, 1468.18
67, 1469.17, 1480.36, 1486.33, 1503.28, 1423.81, 1468.89, 1468.36, 1468.19
68, 1468.69, 1480.69, 1486.67, 1503.16, 1426.06, 1468.89, 1468.27, 1468.21
69, 1469.08, 1481.15, 1487.07, 1504.05, 1428.18, 1468.89, 1468.18, 1468.21
70, 1468.69, 1481.47, 1487.37, 1504.74, 1430.20, 1468.89, 1468.18, 1468.22
71, 1468.89, 1481.61, 1487.62, 1505.82, 1432.12, 1468.69, 1468.18, 1468.22
72, 1468.79, 1481.51, 1487.97, 1505.23, 1433.95, 1468.69, 1468.09, 1468.23
73, 1469.27, 1481.83, 1488.46, 1506.50, 1435.70, 1468.69, 1468.09, 1468.24
74, 1469.08, 1482.16, 1489.09, 1506.77, 1437.37, 1468.89, 1468.09, 1468.25
75, 1469.46, 1482.65, 1489.78, 1506.75, 1438.96, 1468.89, 1468.18, 1468.27
76, 1469.85, 1483.23, 1490.15, 1507.92, 1440.47, 1468.89, 1468.27, 1468.30
77, 1469.85, 1483.85, 1490.48, 1508.77, 1441.96, 1468.89, 1468.36, 1468.32
78, 1470.23, 1484.16, 1491.14, 1509.90, 1443.36, 1468.89, 1468.45, 1468.36
79, 1470.23, 1484.70, 1491.95, 1509.85, 1444.71, 1468.89, 1468.55, 1468.39
80, 1469.94, 1484.89, 1491.78, 1510.79, 1445.94, 1468.98, 1468.64, 1468.42
81, 1469.85, 1485.20, 1491.84, 1512.12, 1447.16, 1468.98, 1468.82, 1468.46
82, 1470.90, 1485.47, 1492.80, 1512.83, 1448.34, 1469.27, 1469.00, 1468.51
83, 1471.00, 1486.36, 1493.34, 1514.21, 1449.46, 1469.37, 1469.18, 1468.57
84, 1471.29, 1487.00, 1493.75, 1514.79, 1450.55, 1469.85, 1469.36, 1468.62
85, 1471.77, 1487.81, 1494.32, 1516.23, 1451.62, 1469.85, 1469.55, 1468.68
86, 1472.44, 1488.26, 1495.45, 1516.48, 1452.65, 1470.33, 1469.82, 1468.75
87, 1472.15, 1489.04, 1495.53, 1516.92, 1453.63, 1470.33, 1470.00, 1468.81
88, 1471.87, 1489.06, 1495.07, 1516.59, 1454.55, 1470.42, 1470.27, 1468.87
89, 1472.44, 1489.24, 1495.44, 1518.51, 1455.48, 1470.42, 1470.55, 1468.95
90, 1472.83, 1489.58, 1496.59, 1519.63, 1456.35, 1471.38, 1470.82, 1469.02
91, 1472.73, 1489.76, 1497.25, 1519.07, 1457.18, 1471.87, 1471.09, 1469.11
92, 1473.21, 1490.07, 1497.21, 1519.90, 1457.98, 1472.15, 1471.36, 1469.19
93, 1473.21, 1490.01, 1497.22, 1520.82, 1458.73, 1472.44, 1471.64, 1469.28
94, 1473.50, 1490.41, 1497.92, 1522.22, 1459.46, 1472.54, 1471.91, 1469.37
95, 1473.69, 1490.88, 1498.41, 1522.82, 1460.14, 1472.63, 1472.18, 1469.46
96, 1473.50, 1491.38, 1498.51, 1522.46, 1460.78, 1472.63, 1472.27, 1469.51
97, 1472.15, 1491.23, 1498.43, 1522.99, 1461.36, 1472.73, 1472.45, 1469.59
98, 1472.73, 1491.17, 1498.20, 1523.82, 1461.93, 1472.73, 1472.45, 1469.65
99, 1472.44, 1491.01, 1498.42, 1524.46, 1462.48, 1472.73, 1472.45, 1469.72
100, 1473.02, 1491.23, 1498.83, 1525.95, 1463.00, 1473.02, 1472.45, 1469.80
101, 1472.92, 1491.50, 1499.20, 1525.88, 1463.51, 1473.02, 1472.45, 1469.86
102, 1472.92, 1491.78, 1499.85, 1527.09, 1464.01, 1473.02, 1472.45, 1469.94
103, 1472.92, 1491.89, 1500.21, 1527.01, 1464.44, 1473.02, 1472.45, 1470.01
104, 1473.12, 1492.17, 1500.13, 1528.12, 1464.86, 1473.02, 1472.45, 1470.08
105, 1472.92, 1492.38, 1500.30, 1528.14, 1465.26, 1472.92, 1472.36, 1470.14
106, 1472.73, 1492.59, 1500.67, 1527.78, 1465.62, 1472.92, 1472.36, 1470.20
107, 1472.92, 1492.93, 1501.32, 1528.89, 1466.00, 1472.92, 1472.36, 1470.26
108, 1473.12, 1493.27, 1501.83, 1528.62, 1466.34, 1472.92, 1472.27, 1470.32
109, 1472.54, 1493.55, 1501.41, 1529.06, 1466.65, 1472.92, 1472.27, 1470.36
110, 1472.25, 1493.13, 1500.65, 1528.93, 1466.93, 1472.83, 1472.18, 1470.39
111, 1471.96, 1492.66, 1500.48, 1529.31, 1467.18, 1472.83, 1472.18, 1470.42
112, 1472.15, 1492.68, 1501.35, 1530.66, 1467.43, 1472.83, 1472.18, 1470.48
113, 1472.83, 1493.35, 1502.16, 1531.29, 1467.67, 1472.83, 1472.09, 1470.52
114, 1471.87, 1493.71, 1502.19, 1530.87, 1467.91, 1472.54, 1472.09, 1470.56
115, 1472.73, 1493.82, 1502.27, 1531.93, 1468.11, 1472.54, 1472.09, 1470.60
116, 1471.67, 1493.51, 1502.15, 1532.08, 1468.30, 1472.54, 1472.00, 1470.62
117, 1471.48, 1493.43, 1502.09, 1531.47, 1468.45, 1472.44, 1471.82, 1470.63
118, 1471.00, 1493.06, 1501.80, 1531.28, 1468.55, 1472.35, 1471.64, 1470.62
119, 1470.42, 1492.38, 1501.22, 1531.70, 1468.61, 1472.35, 1471.36, 1470.61
120, 1470.62, 1492.19, 1501.34, 1531.64, 1468.66, 1472.06, 1471.09, 1470.59
121, 1470.13, 1492.20, 1501.52, 1532.68, 1468.71, 1471.96, 1470.82, 1470.57
122, 1469.94, 1492.80, 1501.73, 1533.20, 1468.78, 1471.96, 1470.64, 1470.55
123, 1470.23, 1492.88, 1502.39, 1533.72, 1468.82, 1471.67, 1470.55, 1470.55
124, 1470.90, 1493.05, 1502.51, 1534.34, 1468.90, 1471.00, 1470.36, 1470.55
125, 1470.90, 1493.29, 1503.01, 1534.47, 1468.98, 1470.71, 1470.18, 1470.56
126, 1471.58, 1493.88, 1504.04, 1536.82, 1469.17, 1470.71, 1470.27, 1470.60
127, 1473.02, 1494.82, 1505.14, 1538.03, 1469.35, 1470.71, 1470.27, 1470.64
128, 1472.35, 1495.60, 1505.41, 1537.37, 1469.48, 1470.71, 1470.27, 1470.68
